filename,width,height,class,xmin,ymin,xmax,ymax
V006_77_0_00_04_01_13_0_b02_20201203_0000_S01_1.jpg,3024,4032,fruit,1003,1167,2255,2575
V006_77_0_00_04_01_13_0_b02_20201203_0001_S01_1.jpg,3024,4032,fruit,600,1087,1628,2344
V006_77_0_00_04_01_13_0_b02_20201203_0002_S01_1.jpg,3024,4032,fruit,1003,1217,2503,3037
V006_77_0_00_04_01_13_0_b02_20201203_0003_S01_1.jpg,3024,4032,fruit,662,1252,2129,3220
V006_77_0_00_04_01_13_0_b02_20201203_0004_S01_1.jpg,3024,4032,fruit,370,884,1994,2879
V006_77_0_00_04_01_13_0_b02_20201203_0005_S01_1.jpg,3024,4032,fruit,739,1184,2176,2922
V006_77_0_00_04_01_13_0_b02_20201203_0006_S01_1.jpg,3024,4032,fruit,1004,1318,2276,3030
V006_77_0_00_04_01_13_0_b02_20201203_0007_S01_1.jpg,3024,4032,fruit,1031,1271,2425,3014
V006_77_0_00_04_01_13_0_b02_20201203_0008_S01_1.jpg,3024,4032,fruit,811,1132,2351,3032
V006_77_0_00_04_01_13_0_b02_20201203_0009_S01_1.jpg,3024,4032,fruit,643,1392,2052,3124
V006_77_0_00_04_01_13_0_b02_20201203_0010_S01_1.jpg,3024,4032,fruit,741,1131,2122,2912
V006_77_0_00_04_01_13_0_b02_20201203_0011_S01_1.jpg,3024,4032,fruit,966,1146,2794,3121
V006_77_0_00_04_01_13_0_b02_20201203_0012_S01_1.jpg,3024,4032,fruit,1026,962,2555,2920
V006_77_0_00_04_01_13_0_b02_20201203_0013_S01_1.jpg,3024,4032,fruit,848,1070,2479,3015
V006_77_0_00_04_01_13_0_b02_20201203_0014_S01_1.jpg,3024,4032,fruit,702,1496,2354,3367
V006_77_0_00_04_01_13_0_b02_20201203_0015_S01_1.jpg,3024,4032,fruit,870,1950,1989,3405
V006_77_0_00_04_01_13_0_b02_20201203_0016_S01_1.jpg,3024,4032,fruit,500,1062,1785,2851
V006_77_0_00_04_01_13_0_b02_20201203_0017_S01_1.jpg,3024,4032,fruit,767,905,2468,3059
V006_77_0_00_04_01_13_0_b02_20201203_0018_S01_1.jpg,3024,4032,fruit,1053,1305,2452,3075
V006_77_0_00_04_01_13_0_b02_20201203_0019_S01_1.jpg,3024,4032,fruit,749,787,2337,2830
V006_77_0_00_04_01_13_0_b02_20201203_0020_S01_1.jpg,3024,4032,fruit,857,590,2356,2802
V006_77_0_00_04_01_13_0_b02_20201203_0021_S01_1.jpg,3024,4032,fruit,1217,1120,2703,2830
V006_77_0_00_04_01_13_0_b02_20201203_0022_S01_1.jpg,3024,4032,fruit,646,470,2274,2826
V006_77_0_00_04_01_13_0_b02_20201203_0023_S01_1.jpg,3024,4032,fruit,196,1121,2112,3214
V006_77_0_00_04_01_13_0_b02_20201203_0024_S01_1.jpg,3024,4032,fruit,435,1162,2225,3387
V006_77_0_00_04_01_13_0_b02_20201203_0025_S01_1.jpg,3024,4032,fruit,1059,1653,2620,3489
V006_77_0_00_04_01_13_0_b02_20201203_0026_S01_1.jpg,3024,4032,fruit,699,840,2384,2825
V006_77_0_00_04_01_13_0_b02_20201203_0027_S01_1.jpg,3024,4032,fruit,1009,1200,2688,3157
V006_77_0_00_04_01_13_0_b02_20201203_0028_S01_1.jpg,3024,4032,fruit,838,1275,2449,3242
V006_77_0_00_04_01_13_0_b02_20201203_0029_S01_1.jpg,3024,4032,fruit,1080,1214,2479,2921
V006_77_0_00_04_01_13_0_b02_20201203_0030_S01_1.jpg,3024,4032,fruit,676,1227,2297,3160
V006_77_0_00_04_01_13_0_b02_20201203_0031_S01_1.jpg,3024,4032,fruit,1094,1260,2205,2456
V006_77_0_00_04_01_13_0_b02_20201203_0032_S01_1.jpg,3024,4032,fruit,1038,1748,2337,3346
V006_77_0_00_04_01_13_0_b02_20201203_0033_S01_1.jpg,3024,4032,fruit,545,1219,2019,3037
V006_77_0_00_04_01_13_0_b02_20201203_0034_S01_1.jpg,3024,4032,fruit,492,865,2253,2996
V006_77_0_00_04_01_13_0_b02_20201203_0035_S01_1.jpg,3024,4032,fruit,692,1041,2368,2969
V006_77_0_00_04_01_13_0_b02_20201203_0036_S01_1.jpg,3024,4032,fruit,462,1187,1992,3121
V006_77_0_00_04_01_13_0_b02_20201203_0037_S01_1.jpg,3024,4032,fruit,994,794,2874,3203
V006_77_0_00_04_01_13_0_b02_20201203_0038_S01_1.jpg,3024,4032,fruit,444,1051,2075,3182
V006_77_0_00_04_01_13_0_b02_20201203_0039_S01_1.jpg,3024,4032,fruit,540,1098,2125,3165
V006_77_0_00_04_01_13_0_b02_20201203_0040_S01_1.jpg,3024,4032,fruit,1172,1372,2588,2980
V006_77_0_00_04_01_13_0_b02_20201203_0041_S01_1.jpg,3024,4032,fruit,964,1121,2283,2814
V006_77_0_00_04_01_13_0_b02_20201203_0042_S01_1.jpg,3024,4032,fruit,641,1204,1827,2715
V006_77_0_00_04_01_13_0_b02_20201203_0043_S01_1.jpg,3024,4032,fruit,510,1115,2134,3241
V006_77_0_00_04_01_13_0_b02_20201203_0044_S01_1.jpg,3024,4032,fruit,515,1188,1978,3055
V006_77_0_00_04_01_13_0_b02_20201203_0045_S01_1.jpg,3024,4032,fruit,541,787,2291,2824
V006_77_0_00_04_01_13_0_b02_20201203_0046_S01_1.jpg,3024,4032,fruit,784,1255,2251,2823
V006_77_0_00_04_01_13_0_b02_20201203_0047_S01_1.jpg,3024,4032,fruit,689,1147,2226,3111
V006_77_0_00_04_01_13_0_b02_20201203_0048_S01_1.jpg,3024,4032,fruit,969,1067,2615,3180
V006_77_0_00_04_01_13_0_b02_20201203_0049_S01_1.jpg,3024,4032,fruit,453,1214,2327,3349
V006_77_0_00_04_01_13_0_b02_20201203_0050_S01_1.jpg,3024,4032,fruit,219,1097,1793,2913
V006_77_0_00_04_01_13_0_b02_20201203_0051_S01_1.jpg,3024,4032,fruit,395,724,1729,2443
V006_77_0_00_04_01_13_0_b02_20201203_0052_S01_1.jpg,3024,4032,fruit,663,1317,2071,2908
V006_77_0_00_04_01_13_0_b02_20201203_0053_S01_1.jpg,3024,4032,fruit,436,930,2322,3233
V006_77_0_00_04_01_13_0_b02_20201203_0054_S01_1.jpg,3024,4032,fruit,758,848,2689,3342
V006_77_0_00_04_01_13_0_b02_20201203_0055_S01_1.jpg,3024,4032,fruit,966,638,2858,2868
V006_77_0_00_04_01_13_0_b02_20201203_0056_S01_1.jpg,3024,4032,fruit,641,866,2623,2900
V006_77_0_00_04_01_13_0_b02_20201203_0057_S01_1.jpg,3024,4032,fruit,930,949,2563,3010
V006_77_0_00_04_01_13_0_b02_20201203_0058_S01_1.jpg,3024,4032,fruit,754,1025,2206,2937
V006_77_0_00_04_01_13_0_b02_20201203_0059_S01_1.jpg,3024,4032,fruit,524,1120,2166,2949
V006_77_0_00_04_01_13_0_b02_20201203_0060_S01_1.jpg,3024,4032,fruit,776,1010,2476,3065
V006_77_0_00_04_01_13_0_b02_20201203_0061_S01_1.jpg,3024,4032,fruit,444,882,2196,2968
V006_77_0_00_04_01_13_0_b02_20201203_0062_S01_1.jpg,3024,4032,fruit,386,958,2205,3068
V006_77_0_00_04_01_13_0_b02_20201203_0063_S01_1.jpg,3024,4032,fruit,812,1133,2454,2888
V006_77_0_00_04_01_13_0_b02_20201203_0064_S01_1.jpg,3024,4032,fruit,1052,1364,2349,2897
V006_77_0_00_04_01_13_0_b02_20201203_0065_S01_1.jpg,3024,4032,fruit,826,1329,2021,2762
V006_77_0_00_04_01_13_0_b02_20201203_0066_S01_1.jpg,3024,4032,fruit,529,1064,2026,2759
V006_77_0_00_04_01_13_0_b02_20201203_0067_S01_1.jpg,3024,4032,fruit,460,1229,2169,3275
V006_77_0_00_04_01_13_0_b02_20201203_0068_S01_1.jpg,3024,4032,fruit,517,1275,2363,3327
V006_77_0_00_04_01_13_0_b02_20201203_0069_S01_1.jpg,3024,4032,fruit,996,876,2624,2686
V006_77_0_00_04_01_13_0_b02_20201203_0070_S01_1.jpg,3024,4032,fruit,936,1019,2327,2805
V006_77_0_00_04_01_13_0_b02_20201203_0071_S01_1.jpg,3024,4032,fruit,434,856,2226,2919
V006_77_0_00_04_01_13_0_b02_20201203_0072_S01_1.jpg,3024,4032,fruit,1128,924,2526,2542
V006_77_0_00_04_01_13_0_b02_20201203_0073_S01_1.jpg,3024,4032,fruit,615,1174,2334,3037
V006_77_0_00_04_01_13_0_b02_20201203_0074_S01_1.jpg,3024,4032,fruit,758,1119,2371,3076
V006_77_0_00_04_01_13_0_b02_20201203_0075_S01_1.jpg,3024,4032,fruit,884,638,2384,2675
V006_77_0_00_04_01_13_0_b02_20201203_0076_S01_1.jpg,3024,4032,fruit,933,674,2662,2629
